Process,Species,Covariate,Mean,SD,5%,50%,95%,Rhat,ESS,Migratory,Sig
Occupancy,ACFL,Intercept,0.473,0.2584,0.0597,0.4653,0.9041,1.001,4970,NE,YES
Occupancy,ALFL,Intercept,-4.6544,1.4012,-6.8958,-4.6801,-2.3643,1.0035,4298,NE,YES
Occupancy,AMCR,Intercept,0.6646,0.6271,-0.1804,0.5721,1.7869,1.0003,5700,R,NO
Occupancy,AMGO,Intercept,3.5987,1.1534,2.1808,3.3652,5.8744,1.0068,5215,M,YES
Occupancy,AMKE,Intercept,-4.5551,1.3892,-6.7513,-4.5829,-2.322,1.0016,4257,R,YES
Occupancy,AMRE,Intercept,-1.9934,1.0203,-3.1952,-2.1599,-0.2615,1.0038,2550,NE,YES
Occupancy,AMRO,Intercept,3.1213,0.5394,2.3351,3.0733,4.0591,1.0002,5700,M,YES
Occupancy,AMWO,Intercept,-4.3378,1.0519,-5.9886,-4.3555,-2.5922,1.0022,5123,M,YES
Occupancy,BADO,Intercept,-2.8266,1.4405,-4.7536,-2.9991,-0.2487,1.0007,2321,R,YES
Occupancy,BAEA,Intercept,-3.3173,1.4469,-5.3261,-3.4739,-0.806,1.0012,2510,R,YES
Occupancy,BANS,Intercept,-4.3869,1.2423,-6.4001,-4.4087,-2.3284,1.0015,4346,NE,YES
Occupancy,BAOR,Intercept,-0.2593,0.3432,-0.7806,-0.2825,0.3489,1.0036,5700,NE,NO
Occupancy,BARS,Intercept,-1.7754,0.769,-2.9196,-1.8439,-0.4481,1,4948,NE,YES
Occupancy,BCCH,Intercept,3.2097,0.7761,2.2236,3.0799,4.5839,1.0027,5219,R,YES
Occupancy,BEKI,Intercept,-0.2049,1.213,-1.7175,-0.4274,2.0293,1.0001,3349,R,NO
Occupancy,BGGN,Intercept,1.4754,0.5261,0.7871,1.4142,2.3932,1.0038,5700,M,YES
Occupancy,BHCO,Intercept,2.346,0.6902,1.4964,2.2289,3.5663,0.9999,5658,M,YES
Occupancy,BHVI,Intercept,-4.224,1.5218,-6.4503,-4.3273,-1.6712,1.0049,3021,NE,YES
Occupancy,BLJA,Intercept,2.9055,0.7736,1.9624,2.7606,4.3185,1.0007,5700,M,YES
Occupancy,BOBO,Intercept,-5.9131,1.7923,-8.8665,-5.8554,-3.1023,1.0021,3493,NE,YES
Occupancy,BRCR,Intercept,-2.065,0.6486,-2.9984,-2.1218,-0.9731,1.0006,5451,M,YES
Occupancy,BRTH,Intercept,-3.6812,0.9196,-5.1647,-3.6933,-2.1641,1,5700,M,YES
Occupancy,BTNW,Intercept,-5.8827,1.7894,-8.8794,-5.8244,-3.1473,1.0053,3241,NE,YES
Occupancy,BWHA,Intercept,-3.3659,1.3909,-5.2874,-3.5271,-0.8727,1.0095,3130,NE,YES
Occupancy,BWWA,Intercept,-2.6552,0.8952,-3.9073,-2.7572,-1.0995,1.0042,4373,NE,YES
Occupancy,CANG,Intercept,0.0571,1.6247,-2.029,-0.2319,3.2168,1.0069,1810,R,NO
Occupancy,CARW,Intercept,0.6313,0.5407,-0.1534,0.5809,1.578,1,5700,R,NO
Occupancy,CEDW,Intercept,0.0255,0.3732,-0.5368,-0.0057,0.6998,1.001,5700,M,NO
Occupancy,CERW,Intercept,-5.9484,1.7445,-8.88,-5.8867,-3.2356,1.001,4185,NE,YES
Occupancy,CHSP,Intercept,-0.774,0.551,-1.5305,-0.8376,0.1717,1.005,5700,M,NO
Occupancy,CHSW,Intercept,2.14,1.1222,0.8241,1.9041,4.2297,1.0004,4426,NE,YES
Occupancy,CLSW,Intercept,-4.4061,1.4242,-6.6148,-4.456,-2.0324,1.0002,3752,NE,YES
Occupancy,COGR,Intercept,0.1826,0.4495,-0.4762,0.1432,0.9862,1.0011,5700,M,NO
Occupancy,COHA,Intercept,-2.4078,0.7217,-3.3878,-2.4972,-1.0953,1.0003,4933,M,YES
Occupancy,COYE,Intercept,-0.9964,0.2565,-1.4157,-0.9967,-0.5677,1.0016,5750,NE,YES
Occupancy,DEJU,Intercept,-1.8411,0.5305,-2.6465,-1.8654,-0.9355,1.0001,5067,R,YES
Occupancy,DOWO,Intercept,2.6667,0.6455,1.8212,2.5767,3.7778,1.0006,5700,R,YES
Occupancy,EABL,Intercept,-0.5566,0.6759,-1.4377,-0.6464,0.6234,1.0014,5231,M,NO
Occupancy,EAKI,Intercept,-3.1027,0.5828,-4.0427,-3.1119,-2.1413,1.0012,5539,NE,YES
Occupancy,EAME,Intercept,-4.38,0.9656,-5.9418,-4.3854,-2.8488,1.003,5700,M,YES
Occupancy,EAPH,Intercept,-1.2776,0.5561,-2.0444,-1.3411,-0.3077,1.0027,5136,M,YES
Occupancy,EATO,Intercept,-1.1815,0.3448,-1.7301,-1.1939,-0.6003,1.0003,6306,M,YES
Occupancy,EAWP,Intercept,2.7425,0.4393,2.099,2.7045,3.5286,1.0023,5700,NE,YES
Occupancy,EUST,Intercept,-2.1409,0.4491,-2.8588,-2.1522,-1.3989,1.002,5975,R,YES
Occupancy,FISP,Intercept,-3.0625,0.412,-3.7595,-3.0468,-2.4088,1.0003,5700,M,YES
Occupancy,GBHE,Intercept,-1.9142,1.0428,-3.2517,-2.0663,-0.1121,1.0003,3437,M,YES
Occupancy,GCFL,Intercept,2.5788,1.2914,1.1322,2.2217,5.1587,1.0041,3754,NE,YES
Occupancy,GHOW,Intercept,-4.1954,1.4814,-6.3781,-4.2925,-1.6837,1.0038,3296,R,YES
Occupancy,GRCA,Intercept,0.158,0.245,-0.2248,0.148,0.5736,1.003,5700,M,NO
Occupancy,GRHE,Intercept,-4.2559,1.4966,-6.5128,-4.3299,-1.6689,1.0007,3157,M,YES
Occupancy,HAWO,Intercept,2.5781,1.5306,0.5777,2.3153,5.4784,1.0007,3426,R,YES
Occupancy,HERG,Intercept,-5.119,1.1186,-6.9763,-5.0897,-3.3638,1.0012,5392,R,YES
Occupancy,HETH,Intercept,-4.7439,0.8075,-6.1329,-4.6887,-3.5002,1.0012,5700,NE,YES
Occupancy,HOFI,Intercept,-0.1477,0.965,-1.4309,-0.2691,1.5396,1.0016,4519,R,NO
